headword,pinyin_tone,pinyin_plain,definition
阿党比周,ēdǎngbǐzhōu,edangbizhou,指相互勾结，相互偏袒，结党营私。
阿党相为,ēdǎngxiāngwéi,edangxiangwei,阿党偏袒、偏私一方。为了谋求私利相互偏袒、包庇。
阿狗阿猫,āgǒuāmāo,agouamao,旧时人们常用的小名。引申为任何轻贱的，不值得重视的人或著作。
阿姑阿翁,āgūāwēng,aguaweng,阿名词的前缀。姑丈夫的母亲。翁丈夫的父亲。指公公婆婆。
阿家阿翁,āgūāwēng,aguaweng,阿名词的前缀。家通姑”，丈夫的母亲。翁丈夫的父亲。指公公婆婆。
阿娇金屋,ājiāojīnwū,ajiaojinwu,阿娇指汉武帝刘彻的姑母（长公主刘娇）的女儿。原指汉武帝刘彻要用金屋接纳阿娇为妇。这里泛指美丽高贵的女子。
阿毗地狱,āpídìyù,apidiyu,阿毗梵语的译音，意译为无间”，即痛苦无有间断之意。常用来比喻黑暗的社会和严酷的牢狱。又比喻无法摆脱的极其痛苦的境地。
阿平绝倒,āpíngjuédǎo,apingjuedao,以之比喻对对方的言论极为佩服。亦用为讥讽言论极为乖谬，常贻笑大方。
阿其所好,ēqísuǒhào,eqisuohao,阿曲从；其他的；好爱好。指为取得某人的好感而迎合他的爱好。
阿时趋俗,ēshíqūsú,eshiqusu,阿迎合。迎合时尚和世俗。
阿世盗名,ēshìdàomíng,eshidaoming,阿世曲意博取世人的欢心。用博取世人的欢心的方法来窃取名誉。
阿世媚俗,ēshìmèisú,eshimeisu,指曲意迎合当时社会的陈规陋俗。
阿世取容,ēshìqǔróng,eshiqurong,指迎合世俗，取悦于人。
阿意取容,ēyìqǔróng,eyiqurong,指曲从其意，以取悦于人。
阿谀谄媚,ēyúchǎnmèi,eyuchanmei,阿谀迎合别人的意思，向人讨好；谄媚巴结，奉承。说话做事迎合别人的心意，竭力向人讨好。
阿谀逢迎,ēyúféngyíng,eyufengying,阿谀用言语恭维别人；逢迎迎合别人的心意。奉承，拍马，讨好别人。
